,Player,Model_Odds,Favor,BetMGM,Difference,Model_Probability,BetMGM_Probability,Weight,WeightedValue
139,Jordan Whittington,122.22222222222224,1,1000.0,-877.7777777777777,0.45,0.09090909090909091,0.55,-0.19750000000000004
174,Darius Slayton,122.22222222222224,1,400.0,-277.77777777777777,0.45,0.2,0.55,-0.1375
50,Elijah Moore,-100.0,-1,275.0,-375.0,0.5,0.26666666666666666,0.5,-0.11666666666666667
176,Tyler Conklin,194.1176470588236,1,450.0,-255.8823529411764,0.3399999999999999,0.18181818181818182,0.6600000000000001,-0.10439999999999997
208,Noah Fant,257.1428571428571,1,550.0,-292.8571428571429,0.28,0.15384615384615385,0.72,-0.09083076923076924
195,MyCole Pruitt,566.6666666666667,1,1800.0,-1233.3333333333333,0.15,0.05263157894736842,0.85,-0.08276315789473684
29,Xavier Legette,233.33333333333337,1,425.0,-191.66666666666663,0.3,0.19047619047619047,0.7,-0.07666666666666666
9,Ray-Ray McCloud III,212.5,1,350.0,-137.5,0.32,0.2222222222222222,0.6799999999999999,-0.06648888888888889
173,Wan'Dale Robinson,212.5,1,350.0,-137.5,0.32,0.2222222222222222,0.6799999999999999,-0.06648888888888889
55,Michael Woods II,400.0,1,750.0,-350.0,0.2,0.11764705882352941,0.8,-0.06588235294117649
136,Puka Nacua,-112.76595744680851,-1,155.0,-267.7659574468085,0.53,0.39215686274509803,0.47,-0.06478627450980393
117,Xavier Worthy,177.77777777777777,1,275.0,-97.22222222222223,0.36,0.26666666666666666,0.64,-0.059733333333333326
13,Charlie Woerner,733.3333333333334,1,1800.0,-1066.6666666666665,0.12,0.05263157894736842,0.88,-0.059284210526315786
142,Julian Hill,809.0909090909091,1,2200.0,-1390.909090909091,0.11,0.043478260869565216,0.89,-0.05920434782608696
34,Tommy Tremble,334.78260869565213,1,550.0,-215.21739130434787,0.23,0.15384615384615385,0.77,-0.05863846153846154
108,Brenton Strange,566.6666666666667,1,1000.0,-433.33333333333326,0.15,0.09090909090909091,0.85,-0.05022727272727272
133,Tutu Atwell,488.2352941176471,1,800.0,-311.7647058823529,0.16999999999999998,0.1111111111111111,0.8300000000000001,-0.04887777777777778
192,Van Jefferson,400.0,1,600.0,-200.0,0.2,0.14285714285714285,0.8,-0.045714285714285735
172,Malik Nabers,132.55813953488374,1,185.0,-52.441860465116264,0.43,0.3508771929824561,0.5700000000000001,-0.045100000000000015
138,Demarcus Robinson,257.1428571428571,1,350.0,-92.85714285714289,0.28,0.2222222222222222,0.72,-0.041600000000000026
103,Devin Duvernay,455.55555555555554,1,650.0,-194.44444444444446,0.18,0.13333333333333333,0.8200000000000001,-0.038266666666666664
31,Ja'Tavion Sanders,334.78260869565213,1,450.0,-115.21739130434787,0.23,0.18181818181818182,0.77,-0.03710000000000001
53,Cedric Tillman,194.1176470588236,1,250.0,-55.88235294117641,0.3399999999999999,0.2857142857142857,0.6600000000000001,-0.03582857142857139
105,Luke Farrell,900.0,1,1500.0,-600.0,0.1,0.0625,0.9,-0.03375000000000001
32,Adam Thielen,222.5806451612903,1,275.0,-52.419354838709694,0.31,0.26666666666666666,0.69,-0.0299
150,T.J. Hockenson,203.030303030303,1,250.0,-46.969696969697,0.33,0.2857142857142857,0.6699999999999999,-0.029671428571428588
211,Jaxon Smith-Njigba,150.0,1,185.0,-35.0,0.4,0.3508771929824561,0.6,-0.02947368421052634
4,Trey McBride,163.15789473684208,1,200.0,-36.84210526315792,0.38000000000000006,0.3333333333333333,0.6199999999999999,-0.028933333333333377
7,KhaDarel Hodge,1011.1111111111112,1,1500.0,-488.8888888888888,0.08999999999999998,0.0625,0.91,-0.025024999999999985
152,Johnny Mundt,488.2352941176471,1,600.0,-111.76470588235293,0.16999999999999998,0.14285714285714285,0.8300000000000001,-0.022528571428571426
128,Ladd McConkey,132.55813953488374,1,155.0,-22.441860465116264,0.43,0.39215686274509803,0.5700000000000001,-0.02157058823529412
148,Malik Washington,566.6666666666667,1,700.0,-133.33333333333326,0.15,0.125,0.85,-0.021249999999999995
124,Derius Davis,900.0,1,1200.0,-300.0,0.1,0.07692307692307693,0.9,-0.020769230769230772
12,Casey Washington,1566.6666666666667,1,2500.0,-933.3333333333333,0.06,0.038461538461538464,0.94,-0.02024615384615384
145,Durham Smythe,1566.6666666666667,1,2500.0,-933.3333333333333,0.06,0.038461538461538464,0.94,-0.02024615384615384
184,Britain Covey,733.3333333333334,1,900.0,-166.66666666666663,0.12,0.1,0.88,-0.01759999999999999
196,Ben Skowronek,1150.0,1,1500.0,-350.0,0.08,0.0625,0.92,-0.016100000000000003
153,Jalen Nailor,455.55555555555554,1,500.0,-44.44444444444446,0.18,0.16666666666666666,0.8200000000000001,-0.010933333333333337
127,Quentin Johnston,233.33333333333337,1,250.0,-16.66666666666663,0.3,0.2857142857142857,0.7,-0.010000000000000002
26,Curtis Samuel,316.6666666666667,1,333.0,-16.333333333333314,0.24,0.23094688221709006,0.76,-0.006880369515011547
177,Malachi Corley,566.6666666666667,1,600.0,-33.33333333333326,0.15,0.14285714285714285,0.85,-0.006071428571428573
0,Greg Dortch,733.3333333333334,1,750.0,-16.66666666666663,0.12,0.11764705882352941,0.88,-0.0020705882352941153
2,Elijah Higgins,733.3333333333334,1,750.0,-16.66666666666663,0.12,0.11764705882352941,0.88,-0.0020705882352941153
144,Jonnu Smith,177.77777777777777,1,180.0,-2.2222222222222285,0.36,0.35714285714285715,0.64,-0.001828571428571415
113,DeAndre Hopkins,222.5806451612903,1,225.0,-2.419354838709694,0.31,0.3076923076923077,0.69,-0.001592307692307679
141,Dee Eskridge,2400.0,1,2500.0,-100.0,0.04,0.038461538461538464,0.96,-0.0014769230769230755
183,Grant Calcaterra,400.0,1,400.0,0.0,0.2,0.2,0.8,0.0
171,Jalin Hyatt,809.0909090909091,1,800.0,9.090909090909122,0.11,0.1111111111111111,0.89,0.000988888888888883
225,Nick Vannett,1566.6666666666667,1,1400.0,166.66666666666674,0.06,0.06666666666666667,0.94,0.006266666666666668
1,Marvin Harrison Jr.,177.77777777777777,1,170.0,7.7777777777777715,0.36,0.37037037037037035,0.64,0.0066370370370370324
155,Brandon Powell,1900.0,1,1600.0,300.0,0.05,0.058823529411764705,0.95,0.008382352941176468
6,Michael Wilson,334.78260869565213,1,310.0,24.78260869565213,0.23,0.24390243902439024,0.77,0.010704878048780475
126,Tucker Fisk,1566.6666666666667,1,1300.0,266.66666666666674,0.06,0.07142857142857142,0.94,0.01074285714285714
21,Amari Cooper,177.77777777777777,1,165.0,12.777777777777771,0.36,0.37735849056603776,0.64,0.011109433962264176
33,Deven Thompkins,2400.0,1,1800.0,600.0,0.04,0.05263157894736842,0.96,0.01212631578947368
28,Jalen Coker,566.6666666666667,1,500.0,66.66666666666674,0.15,0.16666666666666666,0.85,0.014166666666666662
179,Jeremy Ruckert,1566.6666666666667,1,1200.0,366.66666666666674,0.06,0.07692307692307693,0.94,0.015907692307692314
131,Stone Smartt,3233.333333333333,1,2000.0,1233.333333333333,0.030000000000000002,0.047619047619047616,0.97,0.017090476190476184
11,Kyle Pitts,400.0,1,350.0,50.0,0.2,0.2222222222222222,0.8,0.01777777777777776
25,Quintin Morris,1150.0,1,900.0,250.0,0.08,0.1,0.92,0.018400000000000003
48,Jordan Akins,1328.5714285714284,1,1000.0,328.57142857142844,0.07,0.09090909090909091,0.9299999999999999,0.01944545454545454
207,Pharaoh Brown,2400.0,1,1500.0,900.0,0.04,0.0625,0.96,0.021599999999999998
147,Jaylen Waddle,244.82758620689657,1,210.0,34.82758620689657,0.29,0.3225806451612903,0.71,0.023132258064516135
27,Khalil Shakir,222.5806451612903,1,190.0,32.580645161290306,0.31,0.3448275862068966,0.69,0.024031034482758635
106,Tim Jones,2400.0,1,1400.0,1000.0,0.04,0.06666666666666667,0.96,0.025599999999999998
125,Will Dissly,426.31578947368416,1,350.0,76.31578947368416,0.19000000000000003,0.2222222222222222,0.8099999999999999,0.026099999999999964
146,Jack Stoll,9900.0,1,2500.0,7400.0,0.01,0.038461538461538464,0.99,0.02817692307692308
23,Dalton Kincaid,334.78260869565213,1,275.0,59.78260869565213,0.23,0.26666666666666666,0.77,0.028233333333333322
154,Josh Oliver,900.0,1,650.0,250.0,0.1,0.13333333333333333,0.9,0.029999999999999995
170,Greg Dulcich,2400.0,1,1300.0,1100.0,0.04,0.07142857142857142,0.96,0.030171428571428564
30,David Moore,669.2307692307692,1,500.0,169.23076923076917,0.13,0.16666666666666666,0.87,0.03189999999999999
132,Davis Allen,1150.0,1,750.0,400.0,0.08,0.11764705882352941,0.92,0.034635294117647056
10,Darnell Mooney,284.6153846153846,1,225.0,59.615384615384585,0.26,0.3076923076923077,0.74,0.0352923076923077
191,Pat Freiermuth,354.54545454545456,1,275.0,79.54545454545456,0.22,0.26666666666666666,0.78,0.036399999999999995
104,Evan Engram,354.54545454545456,1,275.0,79.54545454545456,0.22,0.26666666666666666,0.78,0.036399999999999995
224,Calvin Ridley,257.1428571428571,1,200.0,57.14285714285711,0.28,0.3333333333333333,0.72,0.03839999999999997
205,AJ Barner,900.0,1,600.0,300.0,0.1,0.14285714285714285,0.9,0.03857142857142856
137,Colby Parkinson,1011.1111111111112,1,650.0,361.1111111111112,0.08999999999999998,0.13333333333333333,0.91,0.03943333333333335
181,Kenny Yeboah,9900.0,1,1800.0,8100.0,0.01,0.05263157894736842,0.99,0.04220526315789473
140,Odell Beckham Jr.,1566.6666666666667,1,850.0,716.6666666666667,0.06,0.10526315789473684,0.94,0.042547368421052625
166,Foster Moreau,900.0,1,550.0,350.0,0.1,0.15384615384615385,0.9,0.048461538461538466
134,Tyler Johnson,2400.0,1,1000.0,1400.0,0.04,0.09090909090909091,0.96,0.04887272727272727
197,Darnell Washington,809.0909090909091,1,500.0,309.0909090909091,0.11,0.16666666666666666,0.89,0.05043333333333332
116,Justin Watson,1566.6666666666667,1,775.0,791.6666666666667,0.06,0.11428571428571428,0.94,0.05102857142857142
221,Tyler Boyd,566.6666666666667,1,375.0,191.66666666666674,0.15,0.21052631578947367,0.85,0.051447368421052624
167,Mason Tipton,3233.333333333333,1,1100.0,2133.333333333333,0.030000000000000002,0.08333333333333333,0.97,0.051733333333333326
5,Tip Reiman,9900.0,1,1500.0,8400.0,0.01,0.0625,0.99,0.051975
110,Parker Washington,525.0,1,350.0,175.0,0.16,0.2222222222222222,0.84,0.05226666666666665
135,Cooper Kupp,222.5806451612903,1,155.0,67.5806451612903,0.31,0.39215686274509803,0.69,0.05668823529411764
8,Drake London,244.82758620689657,1,170.0,74.82758620689657,0.29,0.37037037037037035,0.71,0.05706296296296296
178,Xavier Gipson,2400.0,1,900.0,1500.0,0.04,0.1,0.96,0.057600000000000005
206,Jake Bobo,3233.333333333333,1,1000.0,2233.333333333333,0.030000000000000002,0.09090909090909091,0.97,0.05908181818181819
227,Josh Whyle,3233.333333333333,1,1000.0,2233.333333333333,0.030000000000000002,0.09090909090909091,0.97,0.05908181818181819
51,David Njoku,334.78260869565213,1,225.0,109.78260869565213,0.23,0.3076923076923077,0.77,0.05982307692307693
151,Justin Jefferson,138.0952380952381,1,-110.0,248.0952380952381,0.42,0.5238095238095238,0.5800000000000001,0.060209523809523845
169,Cedrick Wilson Jr.,1566.6666666666667,1,700.0,866.6666666666667,0.06,0.125,0.94,0.0611
209,Tyler Lockett,488.2352941176471,1,310.0,178.23529411764707,0.16999999999999998,0.24390243902439024,0.8300000000000001,0.06133902439024392
112,Mecole Hardman,4900.0,1,1100.0,3800.0,0.02,0.08333333333333333,0.98,0.06206666666666666
175,Davante Adams,257.1428571428571,1,170.0,87.14285714285711,0.28,0.37037037037037035,0.72,0.06506666666666663
187,Ainias Smith,3233.333333333333,1,900.0,2333.333333333333,0.030000000000000002,0.1,0.97,0.0679
130,Jalen Reagor,4900.0,1,1000.0,3900.0,0.02,0.09090909090909091,0.98,0.06949090909090909
129,Joshua Palmer,614.2857142857142,1,350.0,264.2857142857142,0.14,0.2222222222222222,0.86,0.07071111111111109
210,DK Metcalf,300.0,1,185.0,115.0,0.25,0.3508771929824561,0.75,0.07565789473684209
149,Jordan Addison,334.78260869565213,1,200.0,134.78260869565213,0.23,0.3333333333333333,0.77,0.07956666666666665
115,JuJu Smith-Schuster,1150.0,1,500.0,650.0,0.08,0.16666666666666666,0.92,0.07973333333333332
111,Noah Gray,669.2307692307692,1,350.0,319.23076923076917,0.13,0.2222222222222222,0.87,0.08023333333333332
189,Johnny Wilson,9900.0,1,900.0,9000.0,0.01,0.1,0.99,0.08910000000000001
52,Jamari Thrash,1900.0,1,550.0,1350.0,0.05,0.15384615384615385,0.95,0.09865384615384616
185,Jahan Dotson,900.0,1,375.0,525.0,0.1,0.21052631578947367,0.9,0.0994736842105263
3,Zay Jones,9900.0,1,750.0,9150.0,0.01,0.11764705882352941,0.99,0.10657058823529413
190,Calvin Austin III,733.3333333333334,1,310.0,423.33333333333337,0.12,0.24390243902439024,0.88,0.10903414634146341
49,Jerry Jeudy,354.54545454545456,1,175.0,179.54545454545456,0.22,0.36363636363636365,0.78,0.11203636363636364
114,Travis Kelce,270.3703703703703,1,135.0,135.37037037037032,0.27,0.425531914893617,0.73,0.11353829787234042
188,DeVonta Smith,400.0,1,175.0,225.0,0.2,0.36363636363636365,0.8,0.13090909090909092
22,Mack Hollins,669.2307692307692,1,250.0,419.23076923076917,0.13,0.2857142857142857,0.87,0.13547142857142855
180,Garrett Wilson,426.31578947368416,1,175.0,251.31578947368416,0.19000000000000003,0.36363636363636365,0.8099999999999999,0.14064545454545452
168,Marquez Valdes-Scantling,614.2857142857142,1,225.0,389.2857142857142,0.14,0.3076923076923077,0.86,0.1442153846153846
143,Tyreek Hill,300.0,1,125.0,175.0,0.25,0.4444444444444444,0.75,0.14583333333333331
182,A.J. Brown,270.3703703703703,1,110.0,160.37037037037032,0.27,0.47619047619047616,0.73,0.15051904761904758
226,Nick Westbrook-Ikhine,614.2857142857142,1,200.0,414.2857142857142,0.14,0.3333333333333333,0.86,0.16626666666666665
165,Juwan Johnson,2400.0,1,350.0,2050.0,0.04,0.2222222222222222,0.96,0.1749333333333333
24,Dawson Knox,1328.5714285714284,1,220.0,1108.5714285714284,0.07,0.3125,0.9299999999999999,0.22552499999999998
194,George Pickens,525.0,1,100.0,425.0,0.16,0.5,0.84,0.28559999999999997
