Player,TD_Likelihood,Model_Odds,Favor
Greg Dortch,0.17,488.2352941176471,1
Marvin Harrison Jr.,0.34,194.11764705882354,1
Elijah Higgins,0.08,1150.0,1
Zay Jones,0.07,1328.5714285714284,1
Trey McBride,0.4,150.0,1
Zach Pascal,0.09341973931641112,1011.1111111111111,1
Tip Reiman,0.15,566.6666666666667,1
Travis Vokolek,0.028190660216976,3233.3333333333335,1
Xavier Weaver,0.028190660216976,3233.3333333333335,1
Michael Wilson,0.21,376.1904761904762,1
Chris Blair,0.028190660216976,3233.3333333333335,1
KhaDarel Hodge,0.07,1328.5714285714284,1
Drake London,0.25,300.0,1
Ray-Ray McCloud III,0.35,185.71428571428572,1
Darnell Mooney,0.38,163.15789473684208,1
Kyle Pitts,0.36,177.77777777777777,1
Casey Washington,0.07,1328.5714285714284,1
Charlie Woerner,0.19,426.31578947368416,1
Nelson Agholor,0.02,4900.0,1
Mark Andrews,0.34,194.11764705882354,1
Rashod Bateman,0.31,222.5806451612903,1
Zay Flowers,0.33,203.030303030303,1
Isaiah Likely,0.15,566.6666666666667,1
Devontez Walker,0.09341973931641112,1011.1111111111111,1
Tylan Wallace,0.22,354.54545454545456,1
Keon Coleman,0.24,316.6666666666667,1
Amari Cooper,0.42,138.0952380952381,1
Zach Davidson,0.01,9900.0,1
Mack Hollins,0.12,733.3333333333334,1
Dalton Kincaid,0.25,300.0,1
Dawson Knox,0.25,300.0,1
Quintin Morris,0.1,900.0,1
Curtis Samuel,0.07,1328.5714285714284,1
Khalil Shakir,0.45,122.22222222222223,1
Jalen Virgil,0.09341973931641112,1011.1111111111111,1
Dan Chisena,0.03,3233.3333333333335,1
Jalen Coker,0.16,525.0,1
Xavier Legette,0.19,426.31578947368416,1
David Moore,0.11,809.0909090909091,1
Ja'Tavion Sanders,0.13,669.2307692307692,1
Stephen Sullivan,0.028190660216976,3233.3333333333335,1
Adam Thielen,0.25,300.0,1
Deven Thompkins,0.1,900.0,1
Tommy Tremble,0.09,1011.1111111111111,1
Keenan Allen,0.36,177.77777777777777,1
Gerald Everett,0.01,9900.0,1
Collin Johnson,0.10072543362210543,900.0,1
Cole Kmet,0.31,222.5806451612903,1
DJ Moore,0.42,138.0952380952381,1
Rome Odunze,0.42,138.0952380952381,1
Tyler Scott,0.09341973931641112,1011.1111111111111,1
Jermaine Burton,0.07,1328.5714285714284,1
Ja'Marr Chase,0.38,163.15789473684208,1
Mike Gesicki,0.27,270.3703703703703,1
Tee Higgins,0.3,233.33333333333337,1
Tanner Hudson,0.09,1011.1111111111111,1
Andrei Iosivas,0.17,488.2352941176471,1
Drew Sample,0.15,566.6666666666667,1
Isaiah Williams,0.04,2400.0,1
Jordan Akins,0.08,1150.0,1
Jerry Jeudy,0.36,177.77777777777777,1
Elijah Moore,0.17,488.2352941176471,1
David Njoku,0.26,284.6153846153846,1
James Proche II,0.09,1011.1111111111111,1
Jamari Thrash,0.06,1566.6666666666667,1
Cedric Tillman,0.31,222.5806451612903,1
Michael Woods II,0.13,669.2307692307692,1
Jalen Brooks,0.1,900.0,1
Brandin Cooks,0.19,426.31578947368416,1
Princeton Fant,0.09341973931641112,1011.1111111111111,1
Jake Ferguson,0.38,163.15789473684208,1
Ryan Flournoy,0.01,9900.0,1
CeeDee Lamb,0.23,334.78260869565213,1
Jonathan Mingo,0.11,809.0909090909091,1
Luke Schoonmaker,0.11,809.0909090909091,1
Brevyn Spann-Ford,0.12,733.3333333333334,1
Jalen Tolbert,0.22,354.54545454545456,1
KaVontae Turpin,0.08,1150.0,1
Nate Adkins,0.09,1011.1111111111111,1
Troy Franklin,0.03,3233.3333333333335,1
Lil'Jordan Humphrey,0.06,1566.6666666666667,1
Lucas Krull,0.1,900.0,1
Marvin Mims Jr.,0.25,300.0,1
Courtland Sutton,0.16,525.0,1
Adam Trautman,0.01,9900.0,1
Devaughn Vele,0.23,334.78260869565213,1
Maurice Alexander,0.09341973931641112,1011.1111111111111,1
Sam LaPorta,0.27,270.3703703703703,1
Tim Patrick,0.14,614.2857142857142,1
Allen Robinson,0.02,4900.0,1
Amon-Ra St. Brown,0.29,244.82758620689657,1
Jameson Williams,0.34,194.11764705882354,1
Brock Wright,0.13,669.2307692307692,1
Shane Zylstra,0.1,900.0,1
Romeo Doubs,0.35,185.71428571428572,1
Malik Heath,0.04,2400.0,1
Tucker Kraft,0.17,488.2352941176471,1
Jayden Reed,0.24,316.6666666666667,1
Ben Sims,0.04,2400.0,1
Christian Watson,0.15,566.6666666666667,1
Dontayvion Wicks,0.23,334.78260869565213,1
Nico Collins,0.56,-127.2727272727273,-1
Tank Dell,0.24,316.6666666666667,1
Xavier Hutchinson,0.11,809.0909090909091,1
John Metchie III,0.06,1566.6666666666667,1
Dalton Schultz,0.31,222.5806451612903,1
Steven Sims,0.09341973931641112,1011.1111111111111,1
Cade Stover,0.08,1150.0,1
Robert Woods,0.02,4900.0,1
Mo Alie-Cox,0.15,566.6666666666667,1
Josh Downs,0.23,334.78260869565213,1
Ashton Dulin,0.02,4900.0,1
Anthony Gould,0.09341973931641112,1011.1111111111111,1
Kylen Granson,0.07,1328.5714285714284,1
Will Mallory,0.07,1328.5714285714284,1
Adonai Mitchell,0.15,566.6666666666667,1
Drew Ogletree,0.11,809.0909090909091,1
Alec Pierce,0.25,300.0,1
Michael Pittman Jr.,0.3,233.33333333333337,1
Joshua Cephus,0.028190660216976,3233.3333333333335,1
Devin Duvernay,0.05,1900.0,1
Evan Engram,0.35,185.71428571428572,1
Luke Farrell,0.06,1566.6666666666667,1
Tim Jones,0.02,4900.0,1
Josh Reynolds,0.51,-104.08163265306122,-1
Brenton Strange,0.03,3233.3333333333335,1
Brian Thomas Jr.,0.29,244.82758620689657,1
Parker Washington,0.12,733.3333333333334,1
Baylor Cupp,0.028190660216976,3233.3333333333335,1
Noah Gray,0.31,222.5806451612903,1
DeAndre Hopkins,0.24,316.6666666666667,1
Travis Kelce,0.16,525.0,1
Nikko Remigio,0.028190660216976,3233.3333333333335,1
JuJu Smith-Schuster,0.08,1150.0,1
Justin Watson,0.06,1566.6666666666667,1
Xavier Worthy,0.26,284.6153846153846,1
Brock Bowers,0.38,163.15789473684208,1
Harrison Bryant,0.15,566.6666666666667,1
Ramel Keyton,0.03,3233.3333333333335,1
Terrace Marshall Jr.,0.044333333333333336,2400.0,1
Michael Mayer,0.14,614.2857142857142,1
Jakobi Meyers,0.31,222.5806451612903,1
Justin Shorter,0.09341973931641112,1011.1111111111111,1
Tre Tucker,0.29,244.82758620689657,1
Kristian Wilkerson,0.09,1011.1111111111111,1
DJ Chark Jr.,0.08141774131441315,1150.0,1
Derius Davis,0.12,733.3333333333334,1
Will Dissly,0.35,185.71428571428572,1
Tucker Fisk,0.04,2400.0,1
Quentin Johnston,0.34,194.11764705882354,1
Ladd McConkey,0.39,156.4102564102564,1
Joshua Palmer,0.26,284.6153846153846,1
Jalen Reagor,0.03,3233.3333333333335,1
Stone Smartt,0.25,300.0,1
Tutu Atwell,0.2,400.0,1
Tyler Johnson,0.07,1328.5714285714284,1
Cooper Kupp,0.45,122.22222222222223,1
Puka Nacua,0.33,203.030303030303,1
Colby Parkinson,0.13,669.2307692307692,1
Demarcus Robinson,0.18,455.55555555555554,1
Jordan Whittington,0.44,127.27272727272728,1
Odell Beckham Jr.,0.08,1150.0,1
River Cracraft,0.09341973931641112,1011.1111111111111,1
Dee Eskridge,0.01,9900.0,1
Julian Hill,0.12,733.3333333333334,1
Tyreek Hill,0.55,-122.22222222222223,-1
Jonnu Smith,0.35,185.71428571428572,1
Durham Smythe,0.02,4900.0,1
Jack Stoll,0.01,9900.0,1
Jaylen Waddle,0.34,194.11764705882354,1
Malik Washington,0.17,488.2352941176471,1
Jordan Addison,0.43,132.55813953488374,1
T.J. Hockenson,0.27,270.3703703703703,1
Justin Jefferson,0.22,354.54545454545456,1
Johnny Mundt,0.09,1011.1111111111111,1
Jalen Nailor,0.22,354.54545454545456,1
Josh Oliver,0.19,426.31578947368416,1
Brandon Powell,0.03,3233.3333333333335,1
Trent Sherfield Sr.,0.02,4900.0,1
Kendrick Bourne,0.22,354.54545454545456,1
Kayshon Boutte,0.04,2400.0,1
DeMario Douglas,0.19,426.31578947368416,1
Hunter Henry,0.33,203.030303030303,1
Austin Hooper,0.19,426.31578947368416,1
Ja'Lynn Polk,0.09,1011.1111111111111,1
Kevin Austin Jr.,0.09,1011.1111111111111,1
Dallin Holker,0.08141774131441315,1150.0,1
Juwan Johnson,0.05,1900.0,1
Foster Moreau,0.13,669.2307692307692,1
Dante Pettis,0.05,1900.0,1
Mason Tipton,0.03,3233.3333333333335,1
Marquez Valdes-Scantling,0.15,566.6666666666667,1
Cedrick Wilson Jr.,0.14,614.2857142857142,1
Daniel Bellinger,0.16,525.0,1
Greg Dulcich,0.11,809.0909090909091,1
Bryce Ford-Wheaton,0.09341973931641112,1011.1111111111111,1
Jalin Hyatt,0.2,400.0,1
Malik Nabers,0.39,156.4102564102564,1
Wan'Dale Robinson,0.31,222.5806451612903,1
Darius Slayton,0.26,284.6153846153846,1
Ihmir Smith-Marsette,0.09341973931641112,1011.1111111111111,1
Davante Adams,0.4,150.0,1
Irvin Charles,0.01232128982128982,9900.0,1
Tyler Conklin,0.18,455.55555555555554,1
Malachi Corley,0.15,566.6666666666667,1
Xavier Gipson,0.01,9900.0,1
Allen Lazard,0.24,316.6666666666667,1
Jeremy Ruckert,0.07,1328.5714285714284,1
Garrett Wilson,0.4,150.0,1
Kenny Yeboah,0.01,9900.0,1
A.J. Brown,0.18,455.55555555555554,1
Grant Calcaterra,0.18,455.55555555555554,1
Britain Covey,0.11,809.0909090909091,1
Jahan Dotson,0.06,1566.6666666666667,1
E.J. Jenkins,0.09341973931641112,1011.1111111111111,1
Ainias Smith,0.05,1900.0,1
DeVonta Smith,0.3,233.33333333333337,1
C.J. Uzomah,0.09341973931641112,1011.1111111111111,1
Johnny Wilson,0.03,3233.3333333333335,1
Calvin Austin III,0.09,1011.1111111111111,1
Pat Freiermuth,0.41,143.90243902439025,1
Van Jefferson,0.1,900.0,1
Scotty Miller,0.16,525.0,1
George Pickens,0.19,426.31578947368416,1
MyCole Pruitt,0.02,4900.0,1
Ben Skowronek,0.13,669.2307692307692,1
Darnell Washington,0.13,669.2307692307692,1
Mike Williams,0.25,300.0,1
Chris Conley,0.06,1566.6666666666667,1
Jacob Cowing,0.01,9900.0,1
Jauan Jennings,0.3,233.33333333333337,1
George Kittle,0.47,112.76595744680853,1
Ricky Pearsall,0.21,376.1904761904762,1
Deebo Samuel Sr.,0.34,194.11764705882354,1
Eric Saubert,0.06,1566.6666666666667,1
Jake Tonges,0.09341973931641112,1011.1111111111111,1
Brayden Willis,0.09341973931641112,1011.1111111111111,1
AJ Barner,0.04,2400.0,1
Jake Bobo,0.01,9900.0,1
Pharaoh Brown,0.09,1011.1111111111111,1
Noah Fant,0.12,733.3333333333334,1
Tyler Lockett,0.14,614.2857142857142,1
DK Metcalf,0.25,300.0,1
Brady Russell,0.09341973931641112,1011.1111111111111,1
Jaxon Smith-Njigba,0.19,426.31578947368416,1
Cody White,0.04,2400.0,1
Dareke Young,0.005151515151515152,9900.0,1
Devin Culp,0.09341973931641112,1011.1111111111111,1
Payne Durham,0.05,1900.0,1
Mike Evans,0.27,270.3703703703703,1
Rakim Jarrett,0.04,2400.0,1
Ko Kieft,0.09341973931641112,1011.1111111111111,1
Jalen McMillan,0.11,809.0909090909091,1
Ryan Miller,0.01,9900.0,1
Cade Otton,0.24,316.6666666666667,1
Sterling Shepard,0.24,316.6666666666667,1
Tyler Boyd,0.15,566.6666666666667,1
Mason Kinsey,0.09341973931641112,1011.1111111111111,1
David Martin-Robinson,0.028190660216976,3233.3333333333335,1
Thomas Odukoya,0.09341973931641112,1011.1111111111111,1
Chig Okonkwo,0.06,1566.6666666666667,1
Bryce Oliver,0.09,1011.1111111111111,1
Calvin Ridley,0.21,376.1904761904762,1
Nick Vannett,0.11,809.0909090909091,1
Nick Westbrook-Ikhine,0.22,354.54545454545456,1
Josh Whyle,0.19,426.31578947368416,1
John Bates,0.03,3233.3333333333335,1
Dyami Brown,0.23,334.78260869565213,1
Noah Brown,0.36,177.77777777777777,1
Zach Ertz,0.33,203.030303030303,1
Luke McCaffrey,0.06,1566.6666666666667,1
Terry McLaurin,0.42,138.0952380952381,1
Ben Sinnott,0.03,3233.3333333333335,1
Olamide Zaccheaus,0.09,1011.1111111111111,1
